"band","år","div","konk","plass"
"Eikanger-Bjørsvik Musikklag",17,0,"NM",1
"Stavanger Brass Band",17,0,"NM",2
"Manger Musikklag",17,0,"NM",3
"Bjørsvik Brass",17,0,"NM",4
"Jaren Hornmusikkforening",17,0,"NM",5
"Kleppe Musikklag",17,0,"NM",6
"Oslo Brass Band",17,0,"NM",7
"Molde Brass Band",17,0,"NM",8
"Krohnengen Brass Band",17,0,"NM",9
"Oslofjord Brass",17,0,"NM",10
"Tertnes Brass",17,1,"NM",1
"Musikkorpset Gjallarhorn",17,1,"NM",2
"Ila Brass Band",17,1,"NM",3
"Sola Brass Band",17,1,"NM",4
"Askøy Brass Band",17,1,"NM",5
"Hasle Brass",17,1,"NM",6
"Tomra Brass Band",17,1,"NM",7
"Flesland Musikklag",17,1,"NM",8
"Brøttum Brass",17,1,"NM",9
"Haukås Musikklag",17,1,"NM",10
"Tertnes Amatørkorps",17,1,"NM",11
"Oster Brass",17,1,"NM",12
"Radøy Brass",17,2,"NM",1
"Sandefjord Brass Symposium",17,2,"NM",2
"Sagvåg Musikklag",17,2,"NM",3
"Jølster Musikklag",17,2,"NM",4
"Agder Brass",17,2,"NM",5
"Alexander Brass Band",17,2,"NM",6
"Manger Old Star Brass",17,2,"NM",7
"Tysnes Musikklag",17,2,"NM",8
"Tromsø Brass",17,2,"NM",9
"Ørskog Brass",17,2,"NM",9
"Trondheim Politis Brassband",17,2,"NM",11
"Lindås Brass",17,2,"NM",12
"Follesø Musikklag",17,2,"NM",13
"Sørum Musikklag",17,3,"NM",1
"Gjøvik Bybrass",17,3,"NM",2
"Skui Brassband",17,3,"NM",3
"Bjørvika Brass Band",17,3,"NM",4
"Rong Brass",17,3,"NM",4
"Laksevåg Musikkforening",17,3,"NM",6
"Gjesdal Brass Band",17,3,"NM",7
"Bergen Brass Band",17,3,"NM",8
"Valdres Brass",17,3,"NM",9
"Stangaland Brass",17,3,"NM",10
"Salhus Musikklag",17,3,"NM",11
"Tysvær Brass",17,3,"NM",12
"Flora-Bremanger Brassband",17,3,"NM",13
"Fjell Brass",17,3,"NM",14
"Langhus Brass",17,3,"NM",15
"Nes Musikkforening",17,4,"NM",1
"Fræna Brass Band",17,4,"NM",2
"Florø Hornmusikk",17,4,"NM",3
"Indre Torungen Brass Ensemble",17,4,"NM",4
"Stavanger Kommunes Korps",17,4,"NM",5
"Kjølsdalen Musikklag",17,4,"NM",6
"Lyshornet Brass",17,4,"NM",7
"Brumunddal Brass",17,4,"NM",8
"Hetlevik Musikklag",17,4,"NM",9
"Holmestrand Ungdomskorps",17,4,"NM",10
"Flå Musikkorps",17,4,"NM",11
"Frei Hornmusikk",17,4,"NM",12
"Lismarka Mesnali Brass",17,4,"NM",13
"Lillehammer Brass",17,4,"NM",14
"IMI Brass",17,4,"NM",15
"KOS - Krohnengen Old Stars",17,5,"NM",1
"Sotra Brass",17,5,"NM",2
"Moen Musikkforening",17,5,"NM",3
"Filadelfia Hornorkester Drammen",17,5,"NM",4
"Rosendal Musikklag",17,5,"NM",5
"Skeie Brass",17,5,"NM",6
"Saksumdal Musikkforening",17,5,"NM",7
"Borge Brass Band",17,5,"NM",8
"Grenland Brass",17,5,"NM",9
"Ålvik Musikklag",17,5,"NM",10
"Randaberg Musikkorps",17,5,"NM",11
"Haus Musikklag",17,5,"NM",12
"Fjordbrass Lavik",17,5,"NM",13
"Lalm Musikkforening",17,5,"NM",14
"Eikanger-Bjørsvik Musikklag",16,0,"NM",1
"Manger Musikklag",16,0,"NM",2
"Stavanger Brass Band",16,0,"NM",3
"Jaren Hornmusikkforening",16,0,"NM",4
"Bjørsvik Brass",16,0,"NM",5
"Oslo Brass Band",16,0,"NM",6
"Krohnengen Brass Band",16,0,"NM",7
"Oslofjord Brass",16,0,"NM",8
"Ila Brass Band",16,0,"NM",9
"Molde Brass Band",16,0,"NM",10
"Kleppe Musikklag",16,1,"NM",1
"Tertnes Brass",16,1,"NM",2
"Askøy Brass Band",16,1,"NM",3
"Musikkorpset Gjallarhorn",16,1,"NM",4
"Tomra Brass Band",16,1,"NM",5
"Tertnes Amatørkorps",16,1,"NM",6
"Oster Brass",16,1,"NM",7
"Brøttum Brass",16,1,"NM",8
"Hasle Brass",16,1,"NM",9
"Sandefjord Brass Symposium",16,1,"NM",10
"Sola Brass Band",16,1,"NM",11
"Alexander Brass Band",16,1,"NM",12
"Flesland Musikklag",16,2,"NM",1
"Haukås Musikklag",16,2,"NM",2
"Jølster Musikklag",16,2,"NM",3
"Radøy Brass",16,2,"NM",4
"Trondheim Politis Brassband",16,2,"NM",5
"Follesø Musikklag",16,2,"NM",6
"Tromsø Brass",16,2,"NM",7
"Ørskog Brass",16,2,"NM",8
"Sagvåg Musikklag",16,2,"NM",9
"Agder Brass",16,2,"NM",10
"Bergen Brass Band",16,2,"NM",11
"Sørum Musikklag",16,2,"NM",12
"Fjell Brass",16,2,"NM",13
"Tysnes Musikklag",16,3,"NM",1
"Lindås Brass",16,3,"NM",2
"Manger Old Star Brass",16,3,"NM",3
"Tysvær Brass",16,3,"NM",4
"Rong Brass",16,3,"NM",5
"Laksevåg Musikkforening",16,3,"NM",6
"Gjøvik Bybrass",16,3,"NM",7
"Stangaland Brass",16,3,"NM",8
"Gjesdal Brass Band",16,3,"NM",9
"Valdres Brass",16,3,"NM",10
"Langhus Brass",16,3,"NM",11
"Flora-Bremanger Brassband",16,3,"NM",12
"Flå Musikkorps",16,3,"NM",13
"Fræna Brass Band",16,3,"NM",14
"Bjørvika Brass Band",16,4,"NM",1
"Skui Brassband",16,4,"NM",2
"Salhus Musikklag",16,4,"NM",3
"Hordvik Musikklag",16,4,"NM",4
"Lismarka Mesnali Brass",16,4,"NM",4
"Nes Musikkforening",16,4,"NM",4
"Indre Torungen Brass Ensemble",16,4,"NM",7
"Stavanger Kommunes Korps",16,4,"NM",7
"Frei Hornmusikk",16,4,"NM",9
"Florø Hornmusikk",16,4,"NM",10
"Lyshornet Brass",16,4,"NM",11
"IMI Brass",16,4,"NM",12
"Filadelfia Hornorkester Drammen",16,4,"NM",13
"Grenland Brass",16,4,"NM",14
"Sotra Brass",16,4,"NM",14
"Brumunddal Brass",16,5,"NM",1
"Kjølsdalen Musikklag",16,5,"NM",2
"Holmestrand Ungdomskorps",16,5,"NM",3
"Moen Musikkforening",16,5,"NM",4
"Lillehammer Brass",16,5,"NM",5
"Hetlevik Musikklag",16,5,"NM",6
"Skeie Brass",16,5,"NM",7
"Musikkorpset Heimdal",16,5,"NM",8
"Lalm Musikkforening",16,5,"NM",9
"Saksumdal Musikkforening",16,5,"NM",10
"Randaberg Musikkorps",16,5,"NM",11
"Ålvik Musikklag",16,5,"NM",11
"Stavanger Brass Band",15,0,"NM",1
"Eikanger-Bjørsvik Musikklag",15,0,"NM",2
"Manger Musikklag",15,0,"NM",3
"Oslo Brass Band",15,0,"NM",4
"Bjørsvik Brass",15,0,"NM",5
"Krohnengen Brass Band",15,0,"NM",6
"Molde Brass Band",15,0,"NM",7
"Jaren Hornmusikkforening",15,0,"NM",8
"Kleppe Musikklag",15,0,"NM",9
"Ila Brass Band",15,0,"NM",10
"Oslofjord Brass",15,1,"NM",1
"Askøy Brass Band",15,1,"NM",2
"Tertnes Brass",15,1,"NM",3
"Hasle Brass",15,1,"NM",4
"Sandefjord Brass Symposium",15,1,"NM",5
"Tomra Brass Band",15,1,"NM",6
"Sola Brass Band",15,1,"NM",7
"Tertnes Amatørkorps",15,1,"NM",8
"Oster Brass",15,1,"NM",9
"Flesland Musikklag",15,1,"NM",10
"Ørskog Brass",15,1,"NM",11
"Sørum Musikklag",15,1,"NM",12
